"Altitude","Density"
0,0.00237717
10,0.00237648
20,0.00237578
30,0.00237509
40,0.00237439
50,0.0023737
60,0.002373
70,0.00237231
80,0.00237161
90,0.00237092
100,0.00237023
110,0.00236953
120,0.00236884
130,0.00236814
140,0.00236745
150,0.00236676
160,0.00236606
170,0.00236537
180,0.00236468
190,0.00236399
200,0.00236329
210,0.0023626
220,0.00236191
230,0.00236122
240,0.00236052
250,0.00235983
260,0.00235914
270,0.00235845
280,0.00235776
290,0.00235707
300,0.00235638
310,0.00235568
320,0.00235499
330,0.0023543
340,0.00235361
350,0.00235292
360,0.00235223
370,0.00235154
380,0.00235085
390,0.00235016
400,0.00234947
410,0.00234878
420,0.0023481
430,0.00234741
440,0.00234672
450,0.00234603
460,0.00234534
470,0.00234465
480,0.00234396
490,0.00234328
500,0.00234259
510,0.0023419
520,0.00234121
530,0.00234052
540,0.00233984
550,0.00233915
560,0.00233846
570,0.00233778
580,0.00233709
590,0.0023364
600,0.00233572
610,0.00233503
620,0.00233434
630,0.00233366
640,0.00233297
650,0.00233229
660,0.0023316
670,0.00233092
680,0.00233023
690,0.00232955
700,0.00232886
710,0.00232818
720,0.00232749
730,0.00232681
740,0.00232612
750,0.00232544
760,0.00232476
770,0.00232407
780,0.00232339
790,0.00232271
800,0.00232202
810,0.00232134
820,0.00232066
830,0.00231997
840,0.00231929
850,0.00231861
860,0.00231793
870,0.00231724
880,0.00231656
890,0.00231588
900,0.0023152
910,0.00231452
920,0.00231383
930,0.00231315
940,0.00231247
950,0.00231179
960,0.00231111
970,0.00231043
980,0.00230975
990,0.00230907
1000,0.00230839
1010,0.00230771
1020,0.00230703
1030,0.00230635
1040,0.00230567
1050,0.00230499
1060,0.00230431
1070,0.00230363
1080,0.00230295
1090,0.00230227
1100,0.00230159
1110,0.00230092
1120,0.00230024
1130,0.00229956
1140,0.00229888
1150,0.0022982
1160,0.00229753
1170,0.00229685
1180,0.00229617
1190,0.00229549
1200,0.00229482
1210,0.00229414
1220,0.00229346
1230,0.00229279
1240,0.00229211
1250,0.00229143
1260,0.00229076
1270,0.00229008
1280,0.0022894
1290,0.00228873
1300,0.00228805
1310,0.00228738
1320,0.0022867
1330,0.00228603
1340,0.00228535
1350,0.00228468
1360,0.002284
1370,0.00228333
1380,0.00228265
1390,0.00228198
1400,0.0022813
1410,0.00228063
1420,0.00227996
1430,0.00227928
1440,0.00227861
1450,0.00227794
1460,0.00227726
1470,0.00227659
1480,0.00227592
1490,0.00227524
1500,0.00227457
1510,0.0022739
1520,0.00227323
1530,0.00227255
1540,0.00227188
1550,0.00227121
1560,0.00227054
1570,0.00226987
1580,0.0022692
1590,0.00226853
1600,0.00226785
1610,0.00226718
1620,0.00226651
1630,0.00226584
1640,0.00226517
1650,0.0022645
1660,0.00226383
1670,0.00226316
1680,0.00226249
1690,0.00226182
1700,0.00226115
1710,0.00226048
1720,0.00225981
1730,0.00225914
1740,0.00225848
1750,0.00225781
1760,0.00225714
1770,0.00225647
1780,0.0022558
1790,0.00225513
1800,0.00225446
1810,0.0022538
1820,0.00225313
1830,0.00225246
1840,0.00225179
1850,0.00225113
