,0,1,2,3,4,5,6
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29.0,0.97,172.0,61.0,0.0014,11.7,268.0
2,11.0,2.2,224.0,139.0,0.0009,8.0,1136.0
3,21.0,0.97,97.0,178.0,0.0016,11.7,746.0
4,20.0,2.2,141.0,63.0,0.0023,11.7,287.0
5,12.0,2.2,33.0,154.0,0.0008,11.7,281.0
6,23.0,2.2,96.0,98.0,0.0009,8.0,366.0
7,23.0,2.2,91.0,74.0,0.0016,11.7,227.0
8,28.0,0.97,185.0,172.0,0.0008,8.0,1133.0
9,21.0,2.2,99.0,105.0,0.0013,11.7,376.0
10,22.0,0.97,16.0,105.0,0.001,11.7,73.0
11,16.0,2.2,163.0,171.0,0.0008,8.0,1302.0
12,17.0,0.97,33.0,92.0,0.0007,8.0,114.0
13,17.0,0.97,191.0,122.0,0.0004,8.0,505.0
14,11.0,0.97,33.0,91.0,0.0009,8.0,119.0
15,29.0,0.97,150.0,75.0,0.0022,11.7,312.0
16,21.0,0.97,30.0,140.0,0.0017,8.0,274.0
17,6.0,0.97,215.0,79.0,0.0014,8.0,215.0
18,28.0,2.2,193.0,146.0,0.002,11.7,1168.0
19,17.0,0.97,78.0,66.0,0.0014,8.0,168.0
20,8.0,0.97,215.0,107.0,0.0011,8.0,286.0
21,28.0,2.2,29.0,62.0,0.0002,8.0,57.0
22,14.0,0.97,72.0,149.0,0.0017,11.7,452.0
23,18.0,2.2,242.0,152.0,0.0009,8.0,1454.0
24,25.0,0.97,62.0,86.0,0.0003,8.0,141.0
25,6.0,2.2,131.0,64.0,0.0007,11.7,131.0
26,16.0,2.2,98.0,170.0,0.0005,8.0,783.0
27,10.0,0.97,51.0,86.0,0.0015,11.7,145.0
28,13.0,2.2,184.0,70.0,0.001,8.0,396.0
29,24.0,0.97,71.0,70.0,0.0006,11.7,125.0
30,9.0,2.2,130.0,162.0,0.0007,11.7,760.0
31,24.0,0.97,231.0,94.0,0.0018,11.7,554.0
32,19.0,2.2,161.0,127.0,0.001,8.0,828.0
33,17.0,2.2,84.0,130.0,0.0011,11.7,447.0
34,9.0,2.2,239.0,173.0,0.0005,8.0,886.0
35,13.0,0.97,163.0,110.0,0.0008,11.7,421.0
